date,open,close,high,low,volume,code
2016-01-08,11.776,11.61,11.869,11.225,719182.0,600000
2016-01-11,11.424,11.318,11.584,11.258,901771.0,600000
2016-01-12,11.398,11.584,11.63,11.338,553744.0,600000
2016-01-13,11.663,11.544,11.882,11.517,478693.0,600000
2016-01-14,11.285,11.896,11.942,11.212,548388.0,600000
2016-01-15,11.816,11.67,12.048,11.63,467231.0,600000
2016-01-18,11.57,11.736,11.942,11.497,327290.0,600000
2016-01-19,11.803,11.796,11.869,11.617,298071.0,600000
2016-01-20,11.69,11.451,11.75,11.338,359686.0,600000
2016-01-21,11.431,11.006,11.59,10.953,341971.0,600000
2016-01-22,11.179,11.298,11.358,10.946,420073.0,600000
2016-01-25,11.285,11.305,11.398,11.099,235589.0,600000
2016-01-26,11.258,11.059,11.378,10.887,382797.0,600000
2016-01-27,11.119,11.072,11.272,10.96,442913.0,600000
2016-01-28,11.126,11.006,11.165,10.541,389021.0,600000
2016-01-29,10.966,11.219,11.318,10.893,474290.0,600000
2016-02-01,11.278,10.953,11.285,10.893,291395.0,600000
2016-02-02,10.953,11.126,11.245,10.926,253809.0,600000
2016-02-03,11.019,11.026,11.059,10.92,277791.0,600000
2016-02-04,11.179,11.484,11.497,11.039,471628.0,600000
2016-02-05,11.444,12.201,12.208,11.384,784134.0,600000
2016-02-15,11.935,12.247,12.267,11.816,672963.0,600000
2016-03-11,11.623,11.265,11.637,11.026,982403.0,600000
2016-03-14,11.205,11.192,11.597,11.165,569222.0,600000
2016-03-15,11.252,11.298,11.411,11.159,375409.0,600000
2016-03-16,11.232,11.969,11.995,11.225,1084043.0,600000
2016-03-17,11.823,11.75,12.075,11.584,686358.0,600000
2016-03-18,11.809,11.842,11.949,11.716,559879.0,600000
2016-03-21,11.803,11.989,12.115,11.803,420015.0,600000
2016-03-22,12.008,12.048,12.367,11.962,437608.0,600000
2016-03-23,12.055,12.035,12.181,11.989,278307.0,600000
2016-03-24,12.022,11.763,12.022,11.736,274482.0,600000
2016-03-25,11.763,11.776,11.862,11.736,136191.0,600000
2016-03-28,11.803,11.584,11.949,11.531,245216.0,600000
2016-03-29,11.637,11.584,11.723,11.531,191511.0,600000
2016-03-30,11.716,11.862,11.916,11.716,355621.0,600000
2016-03-31,11.935,11.902,12.002,11.763,237621.0,600000
2016-04-01,11.935,12.068,12.115,11.69,357905.0,600000
2016-04-05,11.909,12.062,12.141,11.789,426222.0,600000
2016-04-06,11.969,11.922,12.042,11.862,234287.0,600000
2016-04-07,11.916,11.743,11.949,11.703,290477.0,600000
2016-04-08,11.657,11.683,11.789,11.637,171322.0,600000
2016-04-11,11.683,11.73,11.829,11.65,241176.0,600000
2016-04-12,11.743,11.696,11.75,11.637,141007.0,600000
2016-04-13,11.769,11.776,11.942,11.743,351897.0,600000
2016-04-14,11.882,11.816,11.955,11.783,157962.0,600000
2016-04-15,11.916,11.876,11.989,11.816,347735.0,600000
2016-04-18,11.783,11.823,11.969,11.723,280841.0,600000
2016-04-19,11.916,11.882,11.935,11.803,272463.0,600000
2016-04-20,11.876,11.922,11.942,11.491,466146.0,600000
2016-04-21,11.829,12.028,12.181,11.783,482129.0,600000
2016-04-22,11.949,12.108,12.188,11.909,281781.0,600000
2016-04-25,12.048,11.869,12.055,11.829,242943.0,600000
2016-04-26,11.862,11.896,12.002,11.783,157394.0,600000
2016-04-27,11.929,11.856,11.929,11.816,138388.0,600000
2016-04-28,11.902,11.882,12.015,11.836,157284.0,600000
2016-04-29,11.836,11.836,11.909,11.783,230659.0,600000
2016-05-03,11.916,12.028,12.108,11.836,277767.0,600000
2016-05-04,11.989,12.002,12.101,11.962,231189.0,600000
2016-05-05,11.989,11.989,12.028,11.935,149366.0,600000
2016-05-06,11.995,11.769,12.015,11.756,234067.0,600000
2016-05-09,11.756,11.623,11.816,11.55,219475.0,600000
2016-05-10,11.537,11.604,11.657,11.537,168466.0,600000
2016-05-11,11.65,11.584,11.663,11.55,119411.0,600000
2016-05-12,11.57,11.557,11.617,11.418,146689.0,600000
2016-05-13,11.531,11.444,11.59,11.431,110138.0,600000
2016-05-16,11.438,11.477,11.517,11.424,110456.0,600000
2016-05-17,11.477,11.451,11.511,11.391,97651.0,600000
2016-05-18,11.451,11.657,11.696,11.298,309624.0,600000
2016-05-19,11.577,11.517,11.61,11.504,103808.0,600000
